"a_etage","cheminee","classification_f","cuve_eau","douche_wc","etat_general","garage_ferme","gardien_securite","groupe_electrogene","loyer_mensuel","meuble","nombre_chambres","nombre_salles_eau","piscine","quartier","superficie","surface_terrain","terrasse_balcon","type_d_acces","type_logement"
"False","True","F5","False","interieur","bon","False","False","False","2500000","False","4","2.0","False","Talatamaty","0","0","True","voiture_avec_parking","Villa"
"False","True","F4","False","interieur","bon","False","False","False","3500000","False","3","1.0","False","Analamahitsy Cite","0","0","False","voiture_avec_parking","Villa"
"False","False","F6","True","interieur","bon","False","False","False","1000000","False","2","1.0","False","Alarobia Amboniloha","0","0","False","voiture_avec_parking","Appartement"
"False","False","F5","False","interieur","bon","False","False","False","2000000","False","3","2.0","False","Ambohimahitsy","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","False","interieur","bon","False","False","False","1600000","True","3","2.0","False","Ivato","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","1600000","True","3","2.0","False","Ivato","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","True","interieur","bon","False","False","False","1800000","False","3","1.0","False","Alasora","0","0","False","voiture_avec_parking","Appartement"
"False","False","F5","False","interieur","bon","False","False","False","1300000","False","4","1.0","False","Betongolo","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","True","False","False","2000000","False","3","2.0","False","Amboanjobe","0","0","True","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","False","False","2100000","True","3","2.0","False","Ambatobe","0","0","False","sans","Appartement"
"False","False","F5","False","interieur","bon","False","True","False","4500000","False","4","1.0","True","Analamahitsy Cite","0","0","False","voiture_avec_parking","Villa"
"False","True","F4","False","interieur","bon","True","True","False","7500000","True","2","2.0","False","Ivandry","0","0","True","voiture_avec_parking","Villa"
"False","True","F5","True","interieur","bon","False","True","False","5500000","False","4","2.0","False","Ankadivory","0","0","True","voiture_avec_parking","Villa"
"False","False","F2","False","interieur","bon","False","True","False","3250000","True","1","1.0","True","Andrefan'ankadimbahoaka","0","0","True","voiture_avec_parking","Appartement"
"False","True","F4","False","interieur","bon","False","False","False","2000000","False","3","1.0","False","Analamahitsy Cite","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","True","False","False","2600000","False","3","2.0","False","Antanimena","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","True","interieur","bon","False","True","True","2300000","False","2","2.0","True","Talatamaty","0","0","False","voiture_avec_parking","Appartement"
"False","True","F6","True","interieur","bon","False","False","False","3500000","False","5","1.0","False","Androhibe","0","0","False","voiture_avec_parking","Villa"
"False","False","F4","True","interieur","bon","False","True","True","7500000","True","3","3.0","True","Ambatobe","0","0","True","voiture_avec_parking","Appartement"
"False","False","F6","False","interieur","bon","False","False","False","6000000","False","5","3.0","False","Ambatobe","0","0","False","voiture_avec_parking","Villa"
"False","False","F6","False","interieur","bon","False","False","False","4000000","False","6","2.0","False","Antaninandro","0","0","True","voiture_avec_parking","Villa"
"False","True","F4","False","interieur","bon","False","True","False","3000000","False","3","1.0","False","Antaninandro","0","0","False","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","True","False","3500000","False","2","1.0","False","Antaninandro","0","0","True","voiture_avec_parking","Appartement"
"False","False","F6","False","interieur","bon","False","False","False","4000000","True","5","2.0","False","Ankorondrano","0","0","True","voiture_avec_parking","Villa"
"False","False","F2","False","interieur","bon","True","False","False","900000","False","0","1.0","False","Mahazoarivo","0","0","False","voiture_avec_parking","Appartement"
"False","False","F0","False","interieur","bon","True","False","False","3000000","False","3","2.0","False","Ivato","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","True","interieur","bon","False","False","False","3500000","False","4","2.0","False","Ivato","0","0","True","voiture_avec_parking","Villa"
"False","False","F5","False","interieur","bon","False","True","False","5500000","True","4","2.0","True","Analamahitsy Cite","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","True","False","1300000","False","3","1.0","False","Soavimbahoaka","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","True","interieur","bon","False","True","True","6000000","True","2","2.0","False","Ambohijatovo","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","600000","False","3","1.0","False","Soarano Ambondrona","0","0","False","sans","Appartement"
"False","True","F4","False","interieur","bon","False","False","False","900000","False","3","2.0","False","Mahazoarivo","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","False","True","True","3000000","False","3","2.0","False","Ivato","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","True","interieur","bon","False","True","False","1200000","False","2","1.0","False","Ambohibao","0","0","True","voiture_avec_parking","Villa"
"False","False","F6","True","interieur","bon","False","True","False","4300000","False","4","4.0","False","Ivato","0","0","True","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","True","False","5000000","True","2","1.0","False","Ivandry","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","True","interieur","bon","True","True","False","1000000","False","2","2.0","False","Ivato","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","False","False","800000","False","2","2.0","False","Ankerana","0","0","False","voiture_avec_parking","Appartement"
"False","True","F5","False","interieur","bon","True","False","False","9500000","False","4","2.0","False","Ambatobe","0","0","True","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","True","False","3200000","True","2","1.0","False","Antaninandro","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","True","True","False","2200000","False","3","2.0","False","Tanjombato Iraitsimivaky","0","0","False","voiture_avec_parking","Villa"
"False","False","F2","False","interieur","bon","False","False","False","1500000","True","1","1.0","False","Andranomena","0","0","True","voiture_avec_parking","Appartement"
"False","False","F2","False","interieur","bon","False","False","False","2000000","True","1","1.0","False","Ankadifotsy Befelatanana","0","0","False","sans","Appartement"
"False","False","F4","False","interieur","bon","False","True","False","2700000","False","3","1.0","False","Ankorondrano","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","5000000","True","2","2.0","False","Ankadifotsy Befelatanana","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","False","True","False","5000000","False","3","2.0","False","Ambatobe","0","0","False","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","False","False","1600000","False","2","1.0","False","Ankadifotsy Befelatanana","0","0","False","sans","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","1600000","False","3","1.0","False","Ambohitsoa Ankazolava Antanamb","0","0","False","voiture_avec_parking","Appartement"
"False","False","F2","False","interieur","bon","False","False","False","280000","False","1","1.0","False","Manakambahiny Ankerakely Ambat","0","0","False","moto","Appartement"
"False","True","F4","True","interieur","bon","False","False","False","4300000","False","3","1.0","False","Ambatobe","0","0","False","voiture_avec_parking","Villa"
"False","False","F4","True","interieur","bon","False","True","False","3000000","True","3","2.0","False","Ivato","0","0","False","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","True","False","False","1800000","True","2","2.0","False","Ivato","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","True","False","True","5000000","True","3","2.0","False","Mandroseza Afovoany","0","1000","False","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","True","False","2000000","True","2","1.0","False","Ambohimalaza Miray","0","0","False","voiture_avec_parking","Villa"
"False","False","F4","False","interieur","bon","False","False","False","4000000","False","3","3.0","False","Ambatobe","0","0","False","voiture_avec_parking","Villa"
"False","False","F4","True","interieur","bon","False","True","True","7500000","True","3","2.0","False","Ivandry","0","0","False","voiture_avec_parking","Appartement"
"False","False","F5","True","interieur","bon","False","True","True","9500000","True","4","4.0","True","Ivandry","0","0","True","voiture_avec_parking","Appartement"
"False","False","F8","True","interieur","bon","False","False","True","7500000","True","2","3.0","False","Mangarano","0","0","True","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","True","False","1000000","False","2","1.0","False","Ambohimanambola Gara","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","True","interieur","bon","False","True","True","3500000","False","2","2.0","False","Betongolo","0","0","True","voiture_avec_parking","Appartement"
"False","True","F5","False","interieur","bon","False","True","False","7000000","False","4","2.0","False","Ivandry","0","0","False","voiture_avec_parking","Villa"
"True","True","F5","True","interieur","bon","True","True","False","6000000","False","4","2.0","False","Ambatobe","0","0","True","voiture_avec_parking","Villa"
"False","False","F5","False","interieur","bon","False","False","False","4000000","False","4","2.0","False","Ambohimanga Rova","0","0","True","voiture_avec_parking","Villa"
"False","False","F2","False","interieur","bon","False","True","False","1500000","True","1","1.0","False","Ambohimiandra","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","False","True","True","4000000","True","3","3.0","True","Betongolo","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","True","interieur","bon","False","False","False","4000000","True","2","2.0","False","Ambohitrarahaba","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","True","interieur","bon","False","False","True","2500000","True","2","2.0","False","Androhibe","0","0","False","sans","Appartement"
"False","True","F8","True","interieur","bon","True","False","False","4000000","False","5","2.0","False","Ambatomitsangana","0","0","False","voiture_avec_parking","Villa"
"False","True","F4","False","interieur","bon","False","False","False","1800000","False","3","2.0","False","Ivato","0","0","False","voiture_avec_parking","Appartement"
"False","True","F6","True","interieur","bon","False","True","False","6000000","False","5","2.0","False","Ivandry","0","0","True","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","False","False","4750000","True","1","1.0","False","Isoraka","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","3500000","True","3","2.0","True","Ambatobe","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","False","True","False","5000000","True","3","2.0","False","Ambatobe","0","0","True","voiture_avec_parking","Maison"
"False","True","F4","False","interieur","bon","False","True","False","5000000","False","3","3.0","False","Ambatobe","0","0","False","voiture_avec_parking","Villa"
"False","True","F6","False","interieur","bon","False","True","True","4500000","True","5","3.0","True","Talatamaty","0","0","True","voiture_avec_parking","Villa"
"False","True","F3","False","interieur","bon","False","False","False","1500000","False","2","1","False","Analamahitsy Tanana","0","0","False","voiture_avec_parking","Appartement"
